x;name;pclass;sex;age;survived;SexCode
409;Fillbrook, Mr. Joseph Charles;2;male;18;0;0
410;Fox, Mr. Stanley Hubert;2;male;36;0;0
411;"Frost, Mr. Anthony Wood ""Archie""";2;male;;0;0
412;Funk, Miss. Annie Clemmer;2;female;38;0;1
413;Fynney, Mr. Joseph J;2;male;35;0;0
414;Gale, Mr. Harry;2;male;38;0;0
415;Gale, Mr. Shadrach;2;male;34;0;0
416;Garside, Miss. Ethel;2;female;34;1;1
417;Gaskell, Mr. Alfred;2;male;16;0;0
418;Gavey, Mr. Lawrence;2;male;26;0;0
419;Gilbert, Mr. William;2;male;47;0;0
420;Giles, Mr. Edgar;2;male;21;0;0
421;Giles, Mr. Frederick Edward;2;male;21;0;0
422;Giles, Mr. Ralph;2;male;24;0;0
423;Gill, Mr. John William;2;male;24;0;0
424;Gillespie, Mr. William Henry;2;male;34;0;0
425;Givard, Mr. Hans Kristensen;2;male;30;0;0
426;Greenberg, Mr. Samuel;2;male;52;0;0
427;Hale, Mr. Reginald;2;male;30;0;0
428;Hamalainen, Master. Viljo;2;male;0.6667;1;0
429;Hamalainen, Mrs. William (Anna);2;female;24;1;1
430;Harbeck, Mr. William H;2;male;44;0;0
431;"Harper, Miss. Annie Jessie ""Nina""";2;female;6;1;1
432;Harper, Rev. John;2;male;28;0;0
433;Harris, Mr. George;2;male;62;1;0
434;Harris, Mr. Walter;2;male;30;0;0
435;Hart, Miss. Eva Miriam;2;female;7;1;1
436;Hart, Mr. Benjamin;2;male;43;0;0
437;Hart, Mrs. Benjamin (Esther Ada Bloomfield);2;female;45;1;1
438;Herman, Miss. Alice;2;female;24;1;1
439;Herman, Miss. Kate;2;female;24;1;1
440;Herman, Mr. Samuel;2;male;49;0;0
441;Herman, Mrs. Samuel (Jane Laver);2;female;48;1;1
442;Hewlett, Mrs. (Mary D Kingcome) ;2;female;55;1;1
443;Hickman, Mr. Leonard Mark;2;male;24;0;0
444;Hickman, Mr. Lewis;2;male;32;0;0
445;Hickman, Mr. Stanley George;2;male;21;0;0
446;Hiltunen, Miss. Marta;2;female;18;0;1
447;"Hocking, Miss. Ellen ""Nellie""";2;female;20;1;1
448;Hocking, Mr. Richard George;2;male;23;0;0
449;Hocking, Mr. Samuel James Metcalfe;2;male;36;0;0
450;Hocking, Mrs. Elizabeth (Eliza Needs);2;female;54;1;1
451;Hodges, Mr. Henry Price;2;male;50;0;0
452;Hold, Mr. Stephen;2;male;44;0;0
453;Hold, Mrs. Stephen (Annie Margaret Hill);2;female;29;1;1
454;Hood, Mr. Ambrose Jr;2;male;21;0;0
455;Hosono, Mr. Masabumi;2;male;42;1;0
456;Howard, Mr. Benjamin;2;male;63;0;0
457;Howard, Mrs. Benjamin (Ellen Truelove Arman);2;female;60;0;1
458;Hunt, Mr. George Henry;2;male;33;0;0
459;Ilett, Miss. Bertha;2;female;17;1;1
460;Jacobsohn, Mr. Sidney Samuel;2;male;42;0;0
461;Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy);2;female;24;1;1
462;Jarvis, Mr. John Denzil;2;male;47;0;0
463;Jefferys, Mr. Clifford Thomas;2;male;24;0;0
464;Jefferys, Mr. Ernest Wilfred;2;male;22;0;0
465;Jenkin, Mr. Stephen Curnow;2;male;32;0;0
466;Jerwan, Mrs. Amin S (Marie Marthe Thuillard);2;female;23;1;1
467;Kantor, Mr. Sinai;2;male;34;0;0
468;Kantor, Mrs. Sinai (Miriam Sternin);2;female;24;1;1
469;Karnes, Mrs. J Frank (Claire Bennett);2;female;22;0;1
470;Keane, Miss. Nora A;2;female;;1;1
471;Keane, Mr. Daniel;2;male;35;0;0
472;"Kelly, Mrs. Florence ""Fannie""";2;female;45;1;1
473;Kirkland, Rev. Charles Leonard;2;male;57;0;0
474;Knight, Mr. Robert J;2;male;;0;0
475;Kvillner, Mr. Johan Henrik Johannesson;2;male;31;0;0
476;Lahtinen, Mrs. William (Anna Sylfven);2;female;26;0;1
477;Lahtinen, Rev. William;2;male;30;0;0
478;Lamb, Mr. John Joseph;2;male;;0;0
479;Laroche, Miss. Louise;2;female;1;1;1
480;Laroche, Miss. Simonne Marie Anne Andree;2;female;3;1;1
481;Laroche, Mr. Joseph Philippe Lemercier;2;male;25;0;0
482;Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue);2;female;22;1;1
483;Lehmann, Miss. Bertha;2;female;17;1;1
484;Leitch, Miss. Jessie Wills;2;female;;1;1
485;Lemore, Mrs. (Amelia Milley);2;female;34;1;1
486;Levy, Mr. Rene Jacques;2;male;36;0;0
487;Leyson, Mr. Robert William Norman;2;male;24;0;0
488;Lingane, Mr. John;2;male;61;0;0
489;Louch, Mr. Charles Alexander;2;male;50;0;0
490;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);2;female;42;1;1
491;Mack, Mrs. (Mary);2;female;57;0;1
492;Malachard, Mr. Noel;2;male;;0;0
493;Mallet, Master. Andre;2;male;1;1;0
494;Mallet, Mr. Albert;2;male;31;0;0
495;Mallet, Mrs. Albert (Antoinette Magnin);2;female;24;1;1
496;Mangiavacchi, Mr. Serafino Emilio;2;male;;0;0
497;Matthews, Mr. William John;2;male;30;0;0
498;Maybery, Mr. Frank Hubert;2;male;40;0;0
499;McCrae, Mr. Arthur Gordon;2;male;32;0;0
500;McCrie, Mr. James Matthew;2;male;30;0;0
501;McKane, Mr. Peter David;2;male;46;0;0
502;Mellinger, Miss. Madeleine Violet;2;female;13;1;1
503;Mellinger, Mrs. (Elizabeth Anne Maidment);2;female;41;1;1
504;Mellors, Mr. William John;2;male;19;1;0
505;Meyer, Mr. August;2;male;39;0;0
506;Milling, Mr. Jacob Christian;2;male;48;0;0
507;Mitchell, Mr. Henry Michael;2;male;70;0;0
508;Montvila, Rev. Juozas;2;male;27;0;0
509;Moraweck, Dr. Ernest;2;male;54;0;0
510;"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")";2;male;39;0;0
511;Mudd, Mr. Thomas Charles;2;male;16;0;0
512;Myles, Mr. Thomas Francis;2;male;62;0;0
513;Nasser, Mr. Nicholas;2;male;32.5;0;0
514;Nasser, Mrs. Nicholas (Adele Achem);2;female;14;1;1
515;Navratil, Master. Edmond Roger;2;male;2;1;0
516;Navratil, Master. Michel M;2;male;3;1;0
517;"Navratil, Mr. Michel (""Louis M Hoffman"")";2;male;36.5;0;0
518;Nesson, Mr. Israel;2;male;26;0;0
519;Nicholls, Mr. Joseph Charles;2;male;19;0;0
520;Norman, Mr. Robert Douglas;2;male;28;0;0
521;"Nourney, Mr. Alfred (""Baron von Drachstedt"")";2;male;20;1;0
522;Nye, Mrs. (Elizabeth Ramell);2;female;29;1;1
523;Otter, Mr. Richard;2;male;39;0;0
524;Oxenham, Mr. Percy Thomas;2;male;22;1;0
525;Padro y Manent, Mr. Julian;2;male;;1;0
526;Pain, Dr. Alfred;2;male;23;0;0
527;Pallas y Castello, Mr. Emilio;2;male;29;1;0
528;Parker, Mr. Clifford Richard;2;male;28;0;0
529;"Parkes, Mr. Francis ""Frank""";2;male;;0;0
530;Parrish, Mrs. (Lutie Davis);2;female;50;1;1
531;Pengelly, Mr. Frederick William;2;male;19;0;0
532;Pernot, Mr. Rene;2;male;;0;0
533;Peruschitz, Rev. Joseph Maria;2;male;41;0;0
534;Phillips, Miss. Alice Frances Louisa;2;female;21;1;1
535;"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")";2;female;19;1;1
536;Phillips, Mr. Escott Robert;2;male;43;0;0
537;Pinsky, Mrs. (Rosa);2;female;32;1;1
538;Ponesell, Mr. Martin;2;male;34;0;0
539;Portaluppi, Mr. Emilio Ilario Giuseppe;2;male;30;1;0
540;Pulbaum, Mr. Franz;2;male;27;0;0
541;Quick, Miss. Phyllis May;2;female;2;1;1
542;Quick, Miss. Winifred Vera;2;female;8;1;1
543;Quick, Mrs. Frederick Charles (Jane Richards);2;female;33;1;1
544;Reeves, Mr. David;2;male;36;0;0
545;Renouf, Mr. Peter Henry;2;male;34;0;0
546;Renouf, Mrs. Peter Henry (Lillian Jefferys);2;female;30;1;1
547;Reynaldo, Ms. Encarnacion;2;female;28;1;1
548;Richard, Mr. Emile;2;male;23;0;0
549;Richards, Master. George Sibley;2;male;0.8333;1;0
550;Richards, Master. William Rowe;2;male;3;1;0
551;Richards, Mrs. Sidney (Emily Hocking);2;female;24;1;1
552;Ridsdale, Miss. Lucy;2;female;50;1;1
553;Rogers, Mr. Reginald Harry;2;male;19;0;0
554;Rugg, Miss. Emily;2;female;21;1;1
555;Schmidt, Mr. August;2;male;26;0;0
556;Sedgwick, Mr. Charles Frederick Waddington;2;male;25;0;0
557;Sharp, Mr. Percival James R;2;male;27;0;0
558;Shelley, Mrs. William (Imanita Parrish Hall);2;female;25;1;1
559;Silven, Miss. Lyyli Karoliina;2;female;18;1;1
560;Sincock, Miss. Maude;2;female;20;1;1
561;Sinkkonen, Miss. Anna;2;female;30;1;1
562;Sjostedt, Mr. Ernst Adolf;2;male;59;0;0
563;Slayter, Miss. Hilda Mary;2;female;30;1;1
564;Slemen, Mr. Richard James;2;male;35;0;0
565;Smith, Miss. Marion Elsie;2;female;40;1;1
566;Sobey, Mr. Samuel James Hayden;2;male;25;0;0
567;Stanton, Mr. Samuel Ward;2;male;41;0;0
568;Stokes, Mr. Philip Joseph;2;male;25;0;0
569;Swane, Mr. George;2;male;18.5;0;0
570;Sweet, Mr. George Frederick;2;male;14;0;0
571;Toomey, Miss. Ellen;2;female;50;1;1
572;Troupiansky, Mr. Moses Aaron;2;male;23;0;0
573;Trout, Mrs. William H (Jessie L);2;female;28;1;1
574;"Troutt, Miss. Edwina Celia ""Winnie""";2;female;27;1;1
575;Turpin, Mr. William John Robert;2;male;29;0;0
576;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);2;female;27;0;1
577;Veal, Mr. James;2;male;40;0;0
578;Walcroft, Miss. Nellie;2;female;31;1;1
579;Ware, Mr. John James;2;male;30;0;0
580;Ware, Mr. William Jeffery;2;male;23;0;0
581;Ware, Mrs. John James (Florence Louise Long);2;female;31;1;1
582;Watson, Mr. Ennis Hastings;2;male;;0;0
583;Watt, Miss. Bertha J;2;female;12;1;1
584;"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)";2;female;40;1;1
585;Webber, Miss. Susan;2;female;32.5;1;1
586;Weisz, Mr. Leopold;2;male;27;0;0
587;Weisz, Mrs. Leopold (Mathilde Francoise Pede);2;female;29;1;1
588;Wells, Master. Ralph Lester;2;male;2;1;0
589;Wells, Miss. Joan;2;female;4;1;1
590;"Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)";2;female;29;1;1
591;West, Miss. Barbara J;2;female;0.9167;1;1
592;West, Miss. Constance Mirium;2;female;5;1;1
593;West, Mr. Edwy Arthur;2;male;36;0;0
594;West, Mrs. Edwy Arthur (Ada Mary Worth);2;female;33;1;1
595;Wheadon, Mr. Edward H;2;male;66;0;0
596;"Wheeler, Mr. Edwin ""Frederick""";2;male;;0;0
597;Wilhelms, Mr. Charles;2;male;31;1;0
598;Williams, Mr. Charles Eugene;2;male;;1;0
599;Wright, Miss. Marion;2;female;26;1;1
600;"Yrois, Miss. Henriette (""Mrs Harbeck"")";2;female;24;0;1
601;Abbing, Mr. Anthony;3;male;42;0;0
602;Abbott, Master. Eugene Joseph;3;male;13;0;0
603;Abbott, Mr. Rossmore Edward;3;male;16;0;0
604;Abbott, Mrs. Stanton (Rosa Hunt);3;female;35;1;1
605;Abelseth, Miss. Karen Marie;3;female;16;1;1
606;Abelseth, Mr. Olaus Jorgensen;3;male;25;1;0
607;Abrahamsson, Mr. Abraham August Johannes;3;male;20;1;0
608;Abrahim, Mrs. Joseph (Sophie Halaut Easu);3;female;18;1;1
609;Adahl, Mr. Mauritz Nils Martin;3;male;30;0;0
610;Adams, Mr. John;3;male;26;0;0
611;Ahlin, Mrs. Johan (Johanna Persdotter Larsson);3;female;40;0;1
612;Aks, Master. Philip Frank;3;male;0.8333;1;0
613;Aks, Mrs. Sam (Leah Rosen);3;female;18;1;1
614;Albimona, Mr. Nassef Cassem;3;male;26;1;0
615;Alexander, Mr. William;3;male;26;0;0
616;Alhomaki, Mr. Ilmari Rudolf;3;male;20;0;0
617;Ali, Mr. Ahmed;3;male;24;0;0
618;Ali, Mr. William;3;male;25;0;0
619;Allen, Mr. William Henry;3;male;35;0;0
620;Allum, Mr. Owen George;3;male;18;0;0
621;Andersen, Mr. Albert Karvin;3;male;32;0;0
622;Andersen-Jensen, Miss. Carla Christine Nielsine;3;female;19;1;1
623;Andersson, Master. Sigvard Harald Elias;3;male;4;0;0
624;Andersson, Miss. Ebba Iris Alfrida;3;female;6;0;1
625;Andersson, Miss. Ellis Anna Maria;3;female;2;0;1
626;Andersson, Miss. Erna Alexandra;3;female;17;1;1
627;Andersson, Miss. Ida Augusta Margareta;3;female;38;0;1
628;Andersson, Miss. Ingeborg Constanzia;3;female;9;0;1
629;Andersson, Miss. Sigrid Elisabeth;3;female;11;0;1
630;Andersson, Mr. Anders Johan;3;male;39;0;0
631;"Andersson, Mr. August Edvard (""Wennerstrom"")";3;male;27;1;0
632;Andersson, Mr. Johan Samuel;3;male;26;0;0
633;Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren);3;female;39;0;1
634;Andreasson, Mr. Paul Edvin;3;male;20;0;0
635;Angheloff, Mr. Minko;3;male;26;0;0
636;Arnold-Franchi, Mr. Josef;3;male;25;0;0
637;Arnold-Franchi, Mrs. Josef (Josefine Franchi);3;female;18;0;1
638;Aronsson, Mr. Ernst Axel Algot;3;male;24;0;0
639;Asim, Mr. Adola;3;male;35;0;0
640;Asplund, Master. Carl Edgar;3;male;5;0;0
641;Asplund, Master. Clarence Gustaf Hugo;3;male;9;0;0
642;Asplund, Master. Edvin Rojj Felix;3;male;3;1;0
643;Asplund, Master. Filip Oscar;3;male;13;0;0
644;Asplund, Miss. Lillian Gertrud;3;female;5;1;1
645;Asplund, Mr. Carl Oscar Vilhelm Gustafsson;3;male;40;0;0
646;Asplund, Mr. Johan Charles;3;male;23;1;0
647;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);3;female;38;1;1
648;"Assaf Khalil, Mrs. Mariana (""Miriam"")";3;female;45;1;1
649;Assaf, Mr. Gerios;3;male;21;0;0
650;Assam, Mr. Ali;3;male;23;0;0
651;Attalah, Miss. Malake;3;female;17;0;1
652;Attalah, Mr. Sleiman;3;male;30;0;0
653;Augustsson, Mr. Albert;3;male;23;0;0
654;Ayoub, Miss. Banoura;3;female;13;1;1
655;Baccos, Mr. Raffull;3;male;20;0;0
656;Backstrom, Mr. Karl Alfred;3;male;32;0;0
657;Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson);3;female;33;1;1
658;Baclini, Miss. Eugenie;3;female;0.75;1;1
659;Baclini, Miss. Helene Barbara;3;female;0.75;1;1
660;Baclini, Miss. Marie Catherine;3;female;5;1;1
661;Baclini, Mrs. Solomon (Latifa Qurban);3;female;24;1;1
662;Badman, Miss. Emily Louisa;3;female;18;1;1
663;Badt, Mr. Mohamed;3;male;40;0;0
664;Balkic, Mr. Cerin;3;male;26;0;0
665;Barah, Mr. Hanna Assi;3;male;20;1;0
666;Barbara, Miss. Saiide;3;female;18;0;1
667;Barbara, Mrs. (Catherine David);3;female;45;0;1
668;Barry, Miss. Julia;3;female;27;0;1
669;Barton, Mr. David John;3;male;22;0;0
670;Beavan, Mr. William Thomas;3;male;19;0;0
671;Bengtsson, Mr. John Viktor;3;male;26;0;0
672;Berglund, Mr. Karl Ivar Sven;3;male;22;0;0
673;Betros, Master. Seman;3;male;;0;0
674;Betros, Mr. Tannous;3;male;20;0;0
675;Bing, Mr. Lee;3;male;32;1;0
676;Birkeland, Mr. Hans Martin Monsen;3;male;21;0;0
677;Bjorklund, Mr. Ernst Herbert;3;male;18;0;0
678;Bostandyeff, Mr. Guentcho;3;male;26;0;0
679;Boulos, Master. Akar;3;male;6;0;0
680;Boulos, Miss. Nourelain;3;female;9;0;1
681;Boulos, Mr. Hanna;3;male;;0;0
682;Boulos, Mrs. Joseph (Sultana);3;female;;0;1
683;Bourke, Miss. Mary;3;female;;0;1
684;Bourke, Mr. John;3;male;40;0;0
685;Bourke, Mrs. John (Catherine);3;female;32;0;1
686;"Bowen, Mr. David John ""Dai""";3;male;21;0;0
687;Bradley, Miss. Bridget Delia;3;female;22;1;1
688;Braf, Miss. Elin Ester Maria;3;female;20;0;1
689;Braund, Mr. Lewis Richard;3;male;29;0;0
690;Braund, Mr. Owen Harris;3;male;22;0;0
691;Brobeck, Mr. Karl Rudolf;3;male;22;0;0
692;Brocklebank, Mr. William Alfred;3;male;35;0;0
693;Buckley, Miss. Katherine;3;female;18.5;0;1
694;Buckley, Mr. Daniel;3;male;21;1;0
695;Burke, Mr. Jeremiah;3;male;19;0;0
696;Burns, Miss. Mary Delia;3;female;18;0;1
697;Cacic, Miss. Manda;3;female;21;0;1
698;Cacic, Miss. Marija;3;female;30;0;1
699;Cacic, Mr. Jego Grga;3;male;18;0;0
700;Cacic, Mr. Luka;3;male;38;0;0
701;Calic, Mr. Jovo;3;male;17;0;0
702;Calic, Mr. Petar;3;male;17;0;0
703;Canavan, Miss. Mary;3;female;21;0;1
704;Canavan, Mr. Patrick;3;male;21;0;0
705;Cann, Mr. Ernest Charles;3;male;21;0;0
706;Caram, Mr. Joseph;3;male;;0;0
707;Caram, Mrs. Joseph (Maria Elias);3;female;;0;1
708;Carlsson, Mr. August Sigfrid;3;male;28;0;0
709;Carlsson, Mr. Carl Robert;3;male;24;0;0
710;"Carr, Miss. Helen ""Ellen""";3;female;16;1;1
711;Carr, Miss. Jeannie;3;female;37;0;1
712;Carver, Mr. Alfred John;3;male;28;0;0
713;Celotti, Mr. Francesco;3;male;24;0;0
714;Charters, Mr. David;3;male;21;0;0
715;Chip, Mr. Chang;3;male;32;1;0
716;Christmann, Mr. Emil;3;male;29;0;0
717;Chronopoulos, Mr. Apostolos;3;male;26;0;0
718;Chronopoulos, Mr. Demetrios;3;male;18;0;0
719;Coelho, Mr. Domingos Fernandeo;3;male;20;0;0
720;"Cohen, Mr. Gurshon ""Gus""";3;male;18;1;0
721;Colbert, Mr. Patrick;3;male;24;0;0
722;Coleff, Mr. Peju;3;male;36;0;0
723;Coleff, Mr. Satio;3;male;24;0;0
724;Conlon, Mr. Thomas Henry;3;male;31;0;0
725;Connaghton, Mr. Michael;3;male;31;0;0
726;Connolly, Miss. Kate;3;female;22;1;1
727;Connolly, Miss. Kate;3;female;30;0;1
728;Connors, Mr. Patrick;3;male;70.5;0;0
729;Cook, Mr. Jacob;3;male;43;0;0
730;Cor, Mr. Bartol;3;male;35;0;0
731;Cor, Mr. Ivan;3;male;27;0;0
732;Cor, Mr. Liudevit;3;male;19;0;0
733;Corn, Mr. Harry;3;male;30;0;0
734;"Coutts, Master. Eden Leslie ""Neville""";3;male;9;1;0
735;"Coutts, Master. William Loch ""William""";3;male;3;1;0
736;"Coutts, Mrs. William (Winnie ""Minnie"" Treanor)";3;female;36;1;1
737;Coxon, Mr. Daniel;3;male;59;0;0
738;Crease, Mr. Ernest James;3;male;19;0;0
739;Cribb, Miss. Laura Alice;3;female;17;1;1
740;Cribb, Mr. John Hatfield;3;male;44;0;0
741;Culumovic, Mr. Jeso;3;male;17;0;0
742;Daher, Mr. Shedid;3;male;22.5;0;0
743;Dahl, Mr. Karl Edwart;3;male;45;1;0
744;Dahlberg, Miss. Gerda Ulrika;3;female;22;0;1
745;Dakic, Mr. Branko;3;male;19;0;0
746;"Daly, Miss. Margaret Marcella ""Maggie""";3;female;30;1;1
747;Daly, Mr. Eugene Patrick;3;male;29;1;0
748;Danbom, Master. Gilbert Sigvard Emanuel;3;male;0.3333;0;0
749;Danbom, Mr. Ernst Gilbert;3;male;34;0;0
750;Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren);3;female;28;0;1
751;Danoff, Mr. Yoto;3;male;27;0;0
752;Dantcheff, Mr. Ristiu;3;male;25;0;0
753;Davies, Mr. Alfred J;3;male;24;0;0
754;Davies, Mr. Evan;3;male;22;0;0
755;Davies, Mr. John Samuel;3;male;21;0;0
756;Davies, Mr. Joseph;3;male;17;0;0
757;Davison, Mr. Thomas Henry;3;male;;0;0
758;Davison, Mrs. Thomas Henry (Mary E Finck);3;female;;1;1
759;de Messemaeker, Mr. Guillaume Joseph;3;male;36.5;1;0
760;de Messemaeker, Mrs. Guillaume Joseph (Emma);3;female;36;1;1
761;de Mulder, Mr. Theodore;3;male;30;1;0
762;de Pelsmaeker, Mr. Alfons;3;male;16;0;0
763;Dean, Master. Bertram Vere;3;male;1;1;0
764;"Dean, Miss. Elizabeth Gladys ""Millvina""";3;female;0.1667;1;1
765;Dean, Mr. Bertram Frank;3;male;26;0;0
766;Dean, Mrs. Bertram (Eva Georgetta Light);3;female;33;1;1
767;Delalic, Mr. Redjo;3;male;25;0;0
768;Demetri, Mr. Marinko;3;male;;0;0
769;Denkoff, Mr. Mitto;3;male;;0;0
770;Dennis, Mr. Samuel;3;male;22;0;0
771;Dennis, Mr. William;3;male;36;0;0
772;Devaney, Miss. Margaret Delia;3;female;19;1;1
773;Dika, Mr. Mirko;3;male;17;0;0
774;Dimic, Mr. Jovan;3;male;42;0;0
775;Dintcheff, Mr. Valtcho;3;male;43;0;0
776;Doharr, Mr. Tannous;3;male;;0;0
777;Dooley, Mr. Patrick;3;male;32;0;0
778;Dorking, Mr. Edward Arthur;3;male;19;1;0
779;Dowdell, Miss. Elizabeth;3;female;30;1;1
780;Doyle, Miss. Elizabeth;3;female;24;0;1
781;Drapkin, Miss. Jennie;3;female;23;1;1
782;Drazenoic, Mr. Jozef;3;male;33;0;0
783;Duane, Mr. Frank;3;male;65;0;0
784;Duquemin, Mr. Joseph;3;male;24;1;0
785;Dyker, Mr. Adolf Fredrik;3;male;23;0;0
786;Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson);3;female;22;1;1
787;Edvardsson, Mr. Gustaf Hjalmar;3;male;18;0;0
788;Eklund, Mr. Hans Linus;3;male;16;0;0
789;Ekstrom, Mr. Johan;3;male;45;0;0
790;Elias, Mr. Dibo;3;male;;0;0
791;Elias, Mr. Joseph;3;male;39;0;0
792;Elias, Mr. Joseph Jr;3;male;17;0;0
793;Elias, Mr. Tannous;3;male;15;0;0
794;Elsbury, Mr. William James;3;male;47;0;0
795;Emanuel, Miss. Virginia Ethel;3;female;5;1;1
796;Emir, Mr. Farred Chehab;3;male;;0;0
797;Everett, Mr. Thomas James;3;male;40.5;0;0
798;Farrell, Mr. James;3;male;40.5;0;0
799;Finoli, Mr. Luigi;3;male;;1;0
800;Fischer, Mr. Eberhard Thelander;3;male;18;0;0
801;Fleming, Miss. Honora;3;female;;0;1
802;Flynn, Mr. James;3;male;;0;0
803;Flynn, Mr. John;3;male;;0;0
804;Foley, Mr. Joseph;3;male;26;0;0
805;Foley, Mr. William;3;male;;0;0
806;Foo, Mr. Choong;3;male;;1;0
807;"Ford, Miss. Doolina Margaret ""Daisy""";3;female;21;0;1
808;"Ford, Miss. Robina Maggie ""Ruby""";3;female;9;0;1
809;Ford, Mr. Arthur;3;male;;0;0
810;Ford, Mr. Edward Watson;3;male;18;0;0
811;Ford, Mr. William Neal;3;male;16;0;0
812;Ford, Mrs. Edward (Margaret Ann Watson);3;female;48;0;1
813;Fox, Mr. Patrick;3;male;;0;0
814;Franklin, Mr. Charles (Charles Fardon);3;male;;0;0
815;Gallagher, Mr. Martin;3;male;25;0;0
816;Garfirth, Mr. John;3;male;;0;0
817;Gheorgheff, Mr. Stanio;3;male;;0;0
818;Gilinski, Mr. Eliezer;3;male;22;0;0
819;"Gilnagh, Miss. Katherine ""Katie""";3;female;16;1;1
820;Glynn, Miss. Mary Agatha;3;female;;1;1
821;"Goldsmith, Master. Frank John William ""Frankie""";3;male;9;1;0
822;Goldsmith, Mr. Frank John;3;male;33;0;0
823;Goldsmith, Mr. Nathan;3;male;41;0;0
824;Goldsmith, Mrs. Frank John (Emily Alice Brown);3;female;31;1;1
825;Goncalves, Mr. Manuel Estanslas;3;male;38;0;0
826;Goodwin, Master. Harold Victor;3;male;9;0;0
827;Goodwin, Master. Sidney Leonard;3;male;1;0;0
828;Goodwin, Master. William Frederick;3;male;11;0;0
829;Goodwin, Miss. Jessie Allis;3;female;10;0;1
830;Goodwin, Miss. Lillian Amy;3;female;16;0;1
831;Goodwin, Mr. Charles Edward;3;male;14;0;0
832;Goodwin, Mr. Charles Frederick;3;male;40;0;0
833;Goodwin, Mrs. Frederick (Augusta Tyler);3;female;43;0;1
834;Green, Mr. George Henry;3;male;51;0;0
835;Gronnestad, Mr. Daniel Danielsen;3;male;32;0;0
836;Guest, Mr. Robert;3;male;;0;0
837;Gustafsson, Mr. Alfred Ossian;3;male;20;0;0
838;Gustafsson, Mr. Anders Vilhelm;3;male;37;0;0
839;Gustafsson, Mr. Johan Birger;3;male;28;0;0
840;Gustafsson, Mr. Karl Gideon;3;male;19;0;0
841;Haas, Miss. Aloisia;3;female;24;0;1
842;Hagardon, Miss. Kate;3;female;17;0;1
843;Hagland, Mr. Ingvald Olai Olsen;3;male;;0;0
844;Hagland, Mr. Konrad Mathias Reiersen;3;male;;0;0
845;Hakkarainen, Mr. Pekka Pietari;3;male;28;0;0
846;Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck);3;female;24;1;1
847;Hampe, Mr. Leon;3;male;20;0;0
848;Hanna, Mr. Mansour;3;male;23.5;0;0
849;Hansen, Mr. Claus Peter;3;male;41;0;0
850;Hansen, Mr. Henrik Juul;3;male;26;0;0
851;Hansen, Mr. Henry Damsgaard;3;male;21;0;0
852;Hansen, Mrs. Claus Peter (Jennie L Howard);3;female;45;1;1
